IP1b, -26.0, 7.0
IP2b, -16.0, 9.0
IP2c, -9.0, 10.0
IP3b, 23.0, 46.0
IP3c, 25.0, 48.0
IP4b, 19.0, 47.0
IP5, -3.0, 52.0
IP6b, 33.0, 55.0
IP7, 35.0, 58.0
IP8, 43.0, 63.0
